name,birthplace,birthdate,death,Inducted
Roy Acuff,"Maynardville, Tennessee","September 15, 1903","November 23, 1992",1962
Alabama,,,,2005
Bill Anderson,"Columbia, South Carolina","November 1, 1937",,2001
Eddy Arnold,"Henderson, Tennessee","May 15, 1918","May 8, 2008",1966
Chet Atkins,"Luttrell, Tennessee","June 20, 1924","June 30, 2001",1973
Gene Autry,"Tioga, Texas","September 29, 1907","October 2, 1998",1969
DeFord Bailey,"Smith County, Tennessee","December 14, 1899","July 2, 1982",2005
Bobby Bare,"Lawrence County, Ohio","April 7, 1935",,2013
Johnny Bond,"Enville, Oklahoma","June 1, 1915","June 12, 1978",1999
Bobby Braddock,"Lakeland, Florida","August 5, 1940",,2011
Harold Bradley,"Nashville, Tennessee","January 2, 1926",,2006
Jerry Bradley,"Nashville, TN","January 30, 1940",,2019
Owen Bradley,"Westmoreland, Tennessee","October 21, 1915","January 7, 1998",1974
Rod Brasfield,"Smithville, Mississippi","August 22, 1910","September 12, 1958",1987
Garth Brooks,"Tulsa, Oklahoma","February 7, 1962",,2012
Brooks & Dunn,,,,2019
Jim Ed Brown,"Sparkman, Arkansas","April 1, 1934","June 11, 2015",2015
Jim Ed Brown and the Browns,,,,2015
Boudleaux and Felice Bryant,,,,1991
Glen Campbell,"Delight, Arkansas","April 22, 1936","August 8, 2017",2005
Bill Carlisle,"Wakefield, Kentucky","December 19, 1908","March 17, 2003",2002
Carter Family,,,,1970
Johnny Cash,"Kingsland, Arkansas","February 26, 1932","September 12, 2003",1980
Roy Clark,"Meherrin, Virginia","April 15, 1933","November 15, 2018",2009
Cowboy Jack Clement,"Whitehaven, Tennessee","April 5, 1931","August 8, 2013",2013
Patsy Cline,"Winchester, Virginia","September 8, 1932","March 5, 1963",1973
Hank Cochran,"Isola, Mississippi","August 2, 1935","July 15, 2010",2014
Paul Cohen,"Chicago, Illinois","November 10, 1908","April 1, 1970",1976
Floyd Cramer,"Shreveport, Louisiana","October 27, 1933","December 31, 1997",2003
Vernon Dalhart,"Jefferson, Texas","April 6, 1883","September 14, 1948",1981
Charlie Daniels,"Wilmington, North Carolina","October 28, 1936","July 6, 2020",2016
Jimmie Davis,"Beech Springs (near Quitman), Louisiana","September 11, 1899","November 5, 2000",1972
Jimmy Dean,"Olton, Texas","August 10, 1928","June 13, 2010",2010
Delmore Brothers,,,,2001
Jim Denny,"Buffalo Valley, Tennessee",02,,1966
Little Jimmy Dickens,"Bolt, West Virginia","December 19, 1920","January 2, 2015",1983
Ralph Emery,"McEwen, Tennessee","March 10, 1933",,2007
The Everly Brothers,,,,2001
Flatt And Scruggs,,,,1985
Jim Foglesong,"Lundale, West Virginia","July 26, 1922","July 9, 2013",2004
Red Foley,"Blue Lick, Kentucky","June 17, 1910","September 19, 1968",1967
Tennessee Ernie Ford,"Bristol, Tennessee","February 13, 1919","October 17, 1991",1990
Fred Foster,"Rutherford County, North Carolina","July 26, 1931","February 20, 2019",2016
Joseph Frank,"Limestone County, Alabama","April 15, 1900","May 4, 1952",1967
Lefty Frizzell,"Corsicana, Texas","March 31, 1928","July 19, 1975",1982
Connie B. Gay,"Lizard Lick, North Carolina","August 22, 1914","December 4, 1989",1980
Don Gibson,"Shelby, North Carolina","April 3, 1928","November 17, 2003",2001
Vince Gill,"Norman, Oklahoma","April 12, 1957",,2007
Johnny Gimble,"Tyler, Texas","May 30, 1926","May 9, 2015",2018
Merle Haggard,"Bakersfield, California","April 6, 1937","April 6, 2016",1994
Tom T. Hall,"Olive Hill, Kentucky","May 25, 1936",,2008
Emmylou Harris,"Birmingham, Alabama","April 2, 1947",,2008
George D. Hay,"Attica, Indiana","November 9, 1895","May 8, 1968",1966
Homer and Jethro,,,,2001
Roy Horton,"Near Broad Top, Pennsylvania","November 5, 1914","September 23, 2003",1982
Harlan Howard,"Detroit, Michigan","September 8, 1927","March 3, 2002",1997
Ferlin Husky,"Cantwell, Missouri","December 3, 1925","March 17, 2011",2010
Alan Jackson,"Newnan, Georgia","October 17, 1958",,2017
Sonny James,"Hackleburg, Alabama","May 1, 1928","February 22, 2016",2006
Waylon Jennings,"Littlefield, Texas","June 15, 1937","February 13, 2002",2001
George Jones,"Saratoga, Texas","September 12, 1931","April 26, 2013",1992
Grandpa Jones,"Niagra, Kentucky","October 20, 1913","February 19, 1998",1978
Jordanaires,,,,2001
Pee Wee King,"Milwaukee, Wisconsin","February 18, 1914","March 7, 2000",1974
Kris Kristofferson,"Brownsville, Texas","June 22, 1936",,2004
Don Law,"London, England","February 24, 1902","December 20, 1982",2001
Brenda Lee,"Atlanta, Georgia","December 11, 1944",,1997
Hubert Long,"Poteet, Texas","December 3, 1923","September 7, 1972",1979
The Louvin Brothers,,,,2001
Loretta Lynn,"Butcher Holler, Kentucky"," April 14, 1935",,1988
Uncle David Macon,"Smart Station, Warren County, Tennessee","October 7, 1870","March 22, 1952",1966
Barbara Mandrell,"Houston, Texas","December 25, 1948",,2009
Grady Martin,"Marshall County, Tennessee","January 17, 1929","December 3, 2001",2015
Charlie McCoy,"Oak Hill, West Virginia","March 28, 1941",,2009
Reba McEntire,"McAlester, Oklahoma","March 28, 1955",,2011
Roger Miller,"Fort Worth, Texas","January 2, 1936","October 25, 1992",1995
Ronnie Milsap,"Robbinsville, North Carolina","January 16, 1943",,2014
Bill Monroe,"Rosine, Kentucky","September 13, 1911","September 9, 1996",1970
Patsy Montana,"Hope, Arkansas","October 30, 1908","May 3, 1996",1996
George Morgan,"Waverly, Tennessee","June 28, 1924","July 7, 1975",1998
Ken Nelson,"Caledonia, Minnesota","January 19, 1911","January 6, 2008",2001
Willie Nelson,"Abbott, Texas","April 29, 1933",,1993
Oak Ridge Boys,,,,2015
Buck Owens,"Sherman, Texas","August 12, 1929","March 25, 2006",1996
Dolly Parton,"Locust Ridge, Tennessee","January 19, 1946",,1999
Minnie Pearl,"Centerville, Tennessee","October 25, 1912","March 4, 1996",1975
